session_id,gps_date,gps_time,latitude,longitude,velocity,course,satellites_in_view,satellites_used,hdop,label
20260609_190003,6/9/2026,0:03:53,32.1019667,36.1129377,1.477,91.23,11,8,1.27,0
20260609_190003,6/9/2026,0:03:54,32.1019668,36.1129528,1.428,88.77,11,8,1.27,0
20260609_190003,6/9/2026,0:03:55,32.1019675,36.1129682,1.426,87.51,11,8,1.27,0
20260609_190003,6/9/2026,0:03:56,32.101968,36.112983,1.428,87.6,11,8,1.27,0
20260609_190003,6/9/2026,0:03:57,32.101968,36.1129973,1.374,88.98,11,8,1.27,0
20260609_190003,6/9/2026,0:03:58,32.101967,36.113012,1.409,92.13,11,8,1.27,0
20260609_190003,6/9/2026,0:03:59,32.1019647,36.1130265,1.392,96.14,11,8,1.27,0
20260609_190003,6/9/2026,0:04:00,32.1019635,36.1130413,1.37,93.52,11,8,1.27,0
20260609_190003,6/9/2026,0:04:01,32.1019637,36.1130555,1.316,90.35,11,8,1.27,0
20260609_190003,6/9/2026,0:04:02,32.1019632,36.1130697,1.363,93.61,11,8,1.27,0
20260609_190003,6/9/2026,0:04:03,32.1019627,36.113084,1.329,91.94,11,8,1.27,0
20260609_190003,6/9/2026,0:04:04,32.101963,36.1130982,1.399,90.63,11,8,1.27,0
20260609_190003,6/9/2026,0:04:05,32.1019632,36.113113,1.394,89.39,11,8,1.27,0
20260609_190003,6/9/2026,0:04:06,32.1019628,36.1131272,1.293,89.81,11,8,1.27,0
20260609_190003,6/9/2026,0:04:07,32.1019622,36.1131412,1.263,91.14,11,8,1.27,0
20260609_190003,6/9/2026,0:04:08,32.1019608,36.1131553,1.363,92.77,11,8,1.27,0
20260609_190003,6/9/2026,0:04:09,32.1019595,36.11317,1.414,93.29,11,8,1.27,0
20260609_190003,6/9/2026,0:04:10,32.1019587,36.1131848,1.434,92.9,11,8,1.27,0
20260609_190003,6/9/2026,0:04:11,32.1019582,36.1131998,1.435,91.98,11,7,1.27,0
20260609_190003,6/9/2026,0:04:12,32.1019578,36.1132148,1.409,90.43,11,8,1.27,0
20260609_190003,6/9/2026,0:04:13,32.1019577,36.1132297,1.38,89.98,11,8,1.27,0
20260609_190003,6/9/2026,0:04:14,32.1019572,36.1132442,1.34,90.08,11,8,1.27,0
20260609_190003,6/9/2026,0:04:15,32.101957,36.1132578,1.323,89.08,11,8,1.27,0
20260609_190003,6/9/2026,0:04:16,32.1019572,36.113272,1.382,88.67,11,8,1.27,0
20260609_190003,6/9/2026,0:04:17,32.1019567,36.1132863,1.383,89.12,11,8,1.27,0
20260609_190003,6/9/2026,0:04:18,32.1019558,36.1133008,1.337,91.26,11,8,1.27,0
20260609_190003,6/9/2026,0:04:19,32.1019543,36.1133143,1.31,92.85,11,8,1.27,0
20260609_190003,6/9/2026,0:04:20,32.1019527,36.1133275,1.276,95.47,11,8,1.27,0
20260609_190003,6/9/2026,0:04:21,32.1019505,36.1133427,1.371,94.77,11,8,1.14,0
20260609_190003,6/9/2026,0:04:22,32.1019497,36.113356,1.265,94.36,11,8,1.27,0
20260609_190003,6/9/2026,0:04:23,32.101949,36.11337,1.341,92.38,11,8,0.99,0
20260609_190003,6/9/2026,0:04:24,32.1019478,36.1133838,1.27,92.08,11,8,0.99,0
20260609_190003,6/9/2026,0:04:25,32.1019457,36.1133977,1.31,96.51,11,8,0.99,0
20260609_190003,6/9/2026,0:04:26,32.1019395,36.1134108,1.39,111.68,11,8,0.99,0
20260609_190003,6/9/2026,0:04:27,32.1019307,36.113421,1.325,123.71,11,8,0.99,0
20260609_190003,6/9/2026,0:04:28,32.10192,36.1134283,1.341,130.35,11,8,1.24,0
20260609_190003,6/9/2026,0:04:29,32.1019095,36.1134313,1.189,157.97,11,8,1.14,0
20260609_190003,6/9/2026,0:04:30,32.1018978,36.1134313,1.248,175.7,11,8,0.99,0
20260609_190003,6/9/2026,0:04:31,32.1018862,36.1134313,1.191,178.99,11,8,0.99,0
20260609_190003,6/9/2026,0:04:32,32.1018757,36.1134323,1.148,180.28,11,8,0.99,0
20260609_190003,6/9/2026,0:04:33,32.1018653,36.1134328,1.065,179.12,11,8,0.99,0
20260609_190003,6/9/2026,0:04:34,32.1018538,36.1134337,1.269,177.66,11,8,0.99,0
20260609_190003,6/9/2026,0:04:35,32.1018417,36.1134347,1.289,176.58,11,8,0.99,0
20260609_190003,6/9/2026,0:04:36,32.101829,36.1134347,1.322,179.0,11,8,0.99,0
20260609_190003,6/9/2026,0:04:37,32.101815,36.1134337,1.339,181.9,11,8,0.99,0
20260609_190003,6/9/2026,0:04:38,32.1018027,36.113432,1.252,181.86,11,8,0.99,0
20260609_190003,6/9/2026,0:04:39,32.1017915,36.113431,1.192,182.15,11,8,1.27,0
20260609_190003,6/9/2026,0:04:40,32.1017792,36.1134302,1.409,183.9,11,8,0.99,0
20260609_190003,6/9/2026,0:04:41,32.1017658,36.1134298,1.424,182.13,11,8,0.99,0
